캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자,전화번호,영업상태,폐업일자,휴업시작일자,휴업종료일자,우편번호,지역구분,총층수,주변환경,보험기관,건물용도,지상층수,지하층수,객실수
삼포2리해변 야영장,일반야영장업,,,강원도 고성군 죽왕면 황포길 70,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,24750,,0,,,,0,0,0
삼포해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
천진해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
화진포(거진)해변 야영장,일반야영장업,,,강원도 고성군 거진읍 거탄진로 19,,,,,,,,,,,,,,,2022-07-15,033-682-3049,영업/정상,,,,24720,,0,,,,0,0,0
거진11리해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
반암해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
가진해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
자작도해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
백도해변야영장,일반야영장업,,,강원도 고성군 죽왕면 문암항길 133,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,24752,,0,,,,0,0,0
청간해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
공현진2리해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
공현진1리해변 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-15,,영업/정상,,,,,,0,,,,0,0,0
썬캠프,일반야영장업,,,강원도 인제군 인제읍 한석산로 767-19,,,,,,,,,,,,,,,2022-08-09,,영업/정상,,,,24641,,0,,,,0,0,0
노블레스 글렘핑 카라반,일반야영장업,,,강원도 철원군 근남면 하오재로 991,,,,,,,,,,,,,,,2022-07-25,,영업/정상,,,,24065,,0,,,,0,0,0
주문진해수욕장 향호야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-07-14,,영업/정상,,,,,자연녹지지역,0,,,,0,0,0
파라반,일반야영장업,,,"강원도 화천군 화천읍 평화로 623-13, 파라반",,,,,,,,,,,,,,,2022-08-01,,영업/정상,,,,24132,관리지역,1,기타,,사무실,1,0,0
한계2리 솔밭야영장,일반야영장업,,,,,,,,,,,,,,,,,,2022-08-12,,영업/정상,,,,,,0,,,,0,0,0
내린천 글램핑,일반야영장업,,,강원도 인제군 인제읍 내린천로 6184,,,,,,,,,,,,,,,2022-08-12,,영업/정상,,,,24640,,0,,,,0,0,0
숩쏙캠핑장,일반야영장업,,,"충청남도 논산시 벌곡면 벌곡로330번길 29-44, 벌곡조동분교",,,,,,,,,,,,,,,2022-08-03,041-746-5743,영업/정상,,,,33027,관리지역,0,,,,0,0,0
천안밤나무골가족캠핑농원,일반야영장업,,,충청남도 천안시 서북구 성거읍 보명사길 74-13,,,,,,,,,,,,,,,2021-06-30,,영업/정상,,,,31046,,0,,,,0,0,0
사랑나무 캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 131-12,,,,,,,,,,,,,,,2015-04-22,,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
영월천문대 캠핑장,일반야영장업,,,강원도 영월군 북면 사만길 173,,,,,,,,,,,,,,,2015-04-28,,영업/정상,,,,26208,,0,,농협손해보험,,0,0,0
영월키즈캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1208-7,,,,,,,,,,,,,,,2015-05-08,033-374-1746,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
아날로거 무릉도원점,일반야영장업,,,강원도 영월군 무릉도원면 아래골길 10,,,,,,,,,,,,,,,2015-05-15,,영업/정상,,,,26201,,0,,DB손해보험,,0,0,0
호식이 캠핑장,일반야영장업,,,강원도 영월군 주천면 중선로 215,,,,,,,,,,,,,,,2015-05-20,,영업/정상,,,,26202,,0,,삼성화재,,0,0,0
남강 캠프,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1050-16,,,,,,,,,,,,,,,2015-05-20,033-375-1006,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
두산분교 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 두산길 237-4,,,,,,,,,,,,,,,2015-05-26,033-374-3077,영업/정상,,,,26200,,0,,농협손해보험,,0,0,0
달과별 캠핑장,일반야영장업,,,강원도 영월군 상동읍 덕구로 432-25,,,,,,,,,,,,,,,2015-05-28,,영업/정상,,,,26248,,0,,삼성화재,,0,0,0
새막골 캠프,일반야영장업,,,강원도 영월군 무릉도원면 새막골길 72-115,,,,,,,,,,,,,,,2015-05-29,,영업/정상,,,,26200,,,,,,,,
느티나무 캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1061,,,,,,,,,,,,,,,2015-05-29,,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
뜨란솔 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 782-26,,,,,,,,,,,,,,,2015-05-29,333747677,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
보보스캇 캠핑장,일반야영장업,,,강원도 영월군 주천면 미다리길 50-24,,,,,,,,,,,,,,,2015-06-02,333751011,영업/정상,,,,26202,,0,,농협손해보험,,0,0,0
정든 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 644-9,,,,,,,,,,,,,,,2015-06-04,,영업/정상,,,,26201,,,,,,,,
꿈엔들 캠프장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 968-12,,,,,,,,,,,,,,,2015-06-04,,영업/정상,,,,26201,,0,,,,0,0,0
호반 캠핑장,일반야영장업,,,강원도 춘천시 영서로 3189 (신동),,,,,,,,,,,,,,,2017-10-18,,영업/정상,,,,24207,,,,현대해상화재보험,,,,
YELLOW HILL,일반야영장업,,,강원도 춘천시 동산면 종자리로 224-24,,,,,,,,,,,,,,,2017-12-19,,영업/정상,,,,24409,관리지역,,,삼성화재,,,,
강촌버즈글램핑(강촌팜핑),일반야영장업,,,강원도 춘천시 서면 율장길 122-28,,,,,,,,,,,,,,,2018-08-09,332621100,영업/정상,,,,24463,관리지역,0,,삼성화재,,0,0,0
춘천하늘캠핑장,일반야영장업,,,강원도 춘천시 서면 방동1길 315,,,,,,,,,,,,,,,2018-08-16,,영업/정상,,,,24460,자연녹지지역,,,농협손해보험,,,,
도원패밀리캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 엄둔길 390,,,,,,,,,,,,,,,2015-06-18,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
예다움 캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1162-1,,,,,,,,,,,,,,,2015-06-18,,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
물마루 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 두산길 106,,,,,,,,,,,,,,,2015-06-22,,영업/정상,,,,26200,,0,,현대해상보험,,0,0,0
영월별마로펜션캠핑,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1078-22,,,,,,,,,,,,,,,2015-06-26,,영업/정상,,,,26201,,,,,,,,
아빠가 만든 캠핑장,일반야영장업,,,강원도 영월군 북면 덕전길 240,,,,,,,,,,,,,,,2015-06-29,,영업/정상,,,,26208,,0,,삼성화재,,0,0,0
어울림펜션 캠핑장,일반야영장업,,,강원도 영월군 한반도면 문둔길 106,,,,,,,,,,,,,,,2015-06-29,,영업/정상,,,,26214,,0,,DB손해보험주식회사,,0,0,0
산솔 캠핑장,일반야영장업,,,강원도 영월군 중동면 태백산로 1616,,,,,,,,,,,,,,,2015-07-13,,영업/정상,,,,26243,,,,,,,,
두산 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 새막골길 165-13,,,,,,,,,,,,,,,2015-07-14,,영업/정상,,,,26200,,0,,현대해상화재보험,,0,0,0
리버힐즈 캠핑장(푸른농원),일반야영장업,,,강원도 영월군 무릉도원면 도원운학로 1043,,,,,,,,,,,,,,,2015-07-20,,영업/정상,,,,26200,,0,,삼성화재,,0,0,0
청산 캠프,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 782-10,,,,,,,,,,,,,,,2015-07-20,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
솔밭캠프장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 740,,,,,,,,,,,,,,,2015-07-20,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
풍경,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 674-14,,,,,,,,,,,,,,,2015-07-27,,영업/정상,,,,26201,,,,,,,,
청송캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1278-8,,,,,,,,,,,,,,,2015-07-30,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
포안캠핑,일반야영장업,,,강원도 영월군 무릉도원면 두산길 120,,,,,,,,,,,,,,,2015-07-31,,영업/정상,,,,26200,,0,,삼성화재,,0,0,0
마루펜션 캠핑장,일반야영장업,,,강원도 영월군 주천면 평창강로 221,,,,,,,,,,,,,,,2015-08-03,,영업/정상,,,,26202,,,,,,,,
영월오아시스 글램핑,일반야영장업,,,강원도 영월군 영월읍 선돌길 83-27,,,,,,,,,,,,,,,2015-08-03,,영업/정상,,,,26226,관리지역,0,기타,삼성화재,,0,0,0
황토와 통나무 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 66-16,,,,,,,,,,,,,,,2015-08-06,,영업/정상,,,,26201,,,,,,,,
월드니스,일반야영장업,,,강원도 영월군 무릉도원면 도원운학로 475-10,,,,,,,,,,,,,,,2015-08-06,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
섬지골 캠핑장,일반야영장업,,,강원도 영월군 상동읍 섬지골길 19,,,,,,,,,,,,,,,2015-08-09,7088430045,영업/정상,,,,26248,,0,,삼성화재,,0,0,0
영월가자,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 852-24,,,,,,,,,,,,,,,2015-08-12,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
꽃내라팜 야영장,일반야영장업,,,강원도 고성군 간성읍 꽃내마루길 75 (꽃내라팜),,,,,,,,,,,,,,,2016-11-09,336810700,영업/정상,,,,24740,,0,,,,0,0,0
마음이 머무는곳,일반야영장업,,,강원도 화천군 사내면 포화로 653-76,,,,,,,,,,,,,,,2015-04-17,033-441-6066,영업/정상,,,,24150,관리지역,1,기타,,기타,1,,
러브팜캠핑장,일반야영장업,,,강원도 화천군 사내면 화악산로 938-3,,,,,,,,,,,,,,,2015-05-21,033-441-2419,영업/정상,,,,24158,관리지역,1,기타,,기타,1,,
화천 휴 캠핑장,일반야영장업,,,강원도 화천군 화천읍 산수화로 164-80,,,,,,,,,,,,,,,2015-07-07,033 441 1237,영업/정상,,,,24114,관리지역,1,기타,,기타,1,,
낭만캠프,일반야영장업,,,강원도 화천군 간동면 모현동로 185-41,,,,,,,,,,,,,,,2015-07-30,,영업/정상,,,,24138,관리지역,1,기타,,기타,1,,
다옴 햇골 캠핑장,일반야영장업,,,"강원도 화천군 사내면 소이길 42 (캠핑장(사무실, 개수장, 관리실))",,,,,,,,,,,,,,,2015-10-28,033 441 5533,영업/정상,,,,24159,관리지역,2,기타,,기타,2,,
캠플레이 캠핑장,일반야영장업,,,강원도 화천군 상서면 갈목길 17-1,,,,,,,,,,,,,,,2016-04-12,,영업/정상,,,,24103,관리지역,1,기타,,근린생활시설,1,0,0
산방환담,일반야영장업,,,강원도 화천군 사내면 가화로 458-48,,,,,,,,,,,,,,,2016-07-21,,영업/정상,,,,24150,관리지역,1,기타,,근린생활시설,1,0,
돌집야영장,일반야영장업,,,강원도 화천군 간동면 춘양로 777-9,,,,,,,,,,,,,,,2016-11-11,033 4420072,영업/정상,,,,24139,관리지역,1,기타,,기타,1,,
만산동 국민여가 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2017-05-26,033 440 2544,영업/정상,,,,,관리지역,1,기타,,기타,,,
화천에코스쿨 생태체험장,일반야영장업,,,"강원도 화천군 화천읍 비수구미길 972, 에코스쿨(구 수동분교)",,,,,,,,,,,,,,,2017-09-29,334404532,영업/정상,,,,24111,,0,,,,0,0,0
화천 다희펜션캠핑장,일반야영장업,,,강원도 화천군 사내면 큰방단길 63,,,,,,,,,,,,,,,2018-04-27,,영업/정상,,,,24161,관리지역,1,기타,,기타,1,,
지구캠프,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1104,,,,,,,,,,,,,,,2015-08-31,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
Najost Camp,일반야영장업,,,강원도 영월군 김삿갓면 김삿갓로 638,,,,,,,,,,,,,,,2015-10-07,033-375-3215,영업/정상,,,,26246,,0,,현대해상화재보험,,0,0,0
엄둔솔밭빌리지,일반야영장업,,,강원도 영월군 수주면 도원운학로 376,,,,,,,,,,,,,,,2015-10-13,033 3735060,영업/정상,,,,26201,,,,,,,,
길캠프,일반야영장업,,,강원도 영월군 수주면 황정길 29,,,,,,,,,,,,,,,2015-10-19,,영업/정상,,,,26200,,0,,DB손해보험,,0,0,0
법흥 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 14-3,,,,,,,,,,,,,,,2016-01-25,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
더좋은 펜션 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 엄둔길 180,,,,,,,,,,,,,,,2016-01-25,,영업/정상,,,,26201,,0,,한화손해보험,,0,0,0
정원 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 도원운학로 871,,,,,,,,,,,,,,,2016-04-04,,영업/정상,,,,26201,,0,,현대해상화재보험,,0,0,0
석천캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 52,,,,,,,,,,,,,,,2016-04-04,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
자연펜션캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1199,,,,,,,,,,,,,,,2016-04-04,,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
김삿갓휴게소 체험 캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 영월동로 2138,,,,,,,,,,,,,,,2016-05-11,,영업/정상,,,,26246,,,,,,,,
영월캠프,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1208-56,,,,,,,,,,,,,,,2016-05-11,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
영월 스타 글램핑,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1078-12,,,,,,,,,,,,,,,2016-06-24,,영업/정상,,,,26201,,,,,,,,
밤골야영장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 940,,,,,,,,,,,,,,,2016-07-20,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
더불어 사는터,일반야영장업,,,강원도 영월군 무릉도원면 두산길 199-8,,,,,,,,,,,,,,,2016-07-20,,영업/정상,,,,26200,관리지역,0,기타,한화손해보험,,0,0,0
첫물내기야영장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 516,,,,,,,,,,,,,,,2016-07-20,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
내리금봉캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1146,,,,,,,,,,,,,,,2016-07-21,333787464,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
동강아름캠프,일반야영장업,,,강원도 영월군 김삿갓면 영월동로 2435,,,,,,,,,,,,,,,2016-07-27,,영업/정상,,,,26247,,0,,농협손해보험,,0,0,0
별빛캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 양지마을길 38-11,,,,,,,,,,,,,,,2016-08-25,,영업/정상,,,,26200,,0,,,,0,0,0
성동힐링센터 휴(休) 영월캠프,일반야영장업,,,강원도 영월군 영월읍 동강로 1488-23 (봉래초교문산분교),,,,,,,,,,,,,,,2016-08-25,033-375-8870,영업/정상,,,,26221,일반주거지역,0,,영조물공제,,0,0,0
상우농장 야영장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 994-23,,,,,,,,,,,,,,,2016-09-22,333749142,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
씨앗골캠핑장,일반야영장업,,,충청북도 청주시 상당구 낭성면 호정대신로 69-34,,,,,,,,,,,,,,,2016-06-09,,영업/정상,,,,28193,,0,,,,0,0,0
문암생태공원 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2016-09-26,043-201-0732~3,영업/정상,,,,,,,,,,,,
청주키즈캠핑장,일반야영장업,,,충청북도 청주시 상당구 낭성면 갈산1길 19,,,,,,,,,,,,,,,2016-11-23,,영업/정상,,,,28192,,,,,,,,
아트 캠핑 빌리지,일반야영장업,,,충청남도 논산시 상월면 한천길 15-11,,,,,,,,,,,,,,,2015-08-07,041 734 6980,영업/정상,,,,320-932,,0,기타,,근린생활시설,0,0,0
꿈꾸는 시계,일반야영장업,,,충청남도 논산시 벌곡면 수락로443번길 49,,,,,,,,,,,,,,,2015-08-28,,영업/정상,,,,33026,,,,,,,,
나그네 캠핑장,일반야영장업,,,충청남도 논산시 연산면 선비로866번길 166-12,,,,,,,,,,,,,,,2015-10-13,041 733 3700/,영업/정상,,,,32909,,1,,,,,,
수락베이스캠프,일반야영장업,,,충청남도 논산시 벌곡면 수락계곡길 242,,,,,,,,,,,,,,,2016-04-08,,영업/정상,,,,33028,,0,,,,0,0,0
논산 탑정호 글램핑,일반야영장업,,,충청남도 논산시 가야곡면 탑정로 840,,,,,,,,,,,,,,,2016-07-19,,영업/정상,,,,33017,,,,,,,,
너와나 야영장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 193,,,,,,,,,,,,,,,2016-10-14,,영업/정상,,,,26201,,,,,,,,
산골캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 158,,,,,,,,,,,,,,,2016-10-25,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
느티나무 쉼터,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1106,,,,,,,,,,,,,,,2016-12-19,,영업/정상,,,,26247,,0,,삼성화재,,0,0,0
감악산캠핑숲,일반야영장업,,,강원도 원주시 신림면 신림황둔로 714,,,,,,,,,,,,,,,2015-04-29,,영업/정상,,,,26508,관리지역,1,기타,,근린생활시설,1,0,0
리버우드 개발,일반야영장업,,,강원도 홍천군 북방면 노일로 30-2,,,,,,,,,,,,,,,2016-09-02,033-434-7600,영업/정상,,,,25111,,0,,,,0,0,0
예담숲,일반야영장업,,,강원도 홍천군 서면 한서로 347-5,,,,,,,,,,,,,,,2018-10-15,334342926,영업/정상,,,,25100,관리지역,1,기타,,기타,1,,
요기는캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 도원운학로 1524-45,,,,,,,,,,,,,,,2017-02-21,,영업/정상,,,,26200,,,,,,,,
예그리나숲,일반야영장업,,,강원도 영월군 주천면 중선로 609-4,,,,,,,,,,,,,,,2017-06-09,,영업/정상,,,,26202,,,,,,,,
무릉도원 캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 고일길 15-5,,,,,,,,,,,,,,,2017-06-19,,영업/정상,,,,26200,,0,,농협손해보험,,0,0,0
캠프 에이프릴(Camp April),일반야영장업,,,강원도 영월군 남면 서강로 1664-130,,,,,,,,,,,,,,,2017-06-22,,영업/정상,,,,26215,관리지역,0,기타,삼성화재,,0,0,0
수희재캠프,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1078-20,,,,,,,,,,,,,,,2017-06-26,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
별이 빛나는 밤에 글램핑,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 1090,,,,,,,,,,,,,,,2018-05-30,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
내리계곡 솔밭캠핑장,일반야영장업,,,강원도 영월군 김삿갓면 내리계곡로 1039-18,,,,,,,,,,,,,,,2018-06-08,,영업/정상,,,,26247,,0,,농협손해보험,,0,0,0
반딧불이,일반야영장업,,,강원도 영월군 무릉도원면 황정길 165-9,,,,,,,,,,,,,,,2018-06-12,,영업/정상,,,,26200,,0,,농협손해보험,,0,0,0
청풍명월,일반야영장업,,,강원도 영월군 무릉도원면 도원운학로 591,,,,,,,,,,,,,,,2018-06-14,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
다솜이 야영장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 852-21,,,,,,,,,,,,,,,2018-06-14,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
스카이 펜션&캠핑장,일반야영장업,,,강원도 영월군 무릉도원면 무릉법흥로 852-15,,,,,,,,,,,,,,,2018-06-18,,영업/정상,,,,26201,,0,,삼성화재,,0,0,0
백년펜션 야영장,일반야영장업,,,강원도 영월군 무릉도원면 백년계곡길 177,,,,,,,,,,,,,,,2018-07-24,,영업/정상,,,,26201,,0,,농협손해보험,,0,0,0
동빈네 캠핑장,일반야영장업,,,강원도 영월군 중동면 직동로 970,,,,,,,,,,,,,,,2018-07-26,,영업/정상,,,,26244,,,,,,,,
캄파슬로우,일반야영장업,,,강원도 원주시 판부면 백운산길 67-103,,,,,,,,,,,,,,,2015-05-01,,영업/정상,,,,26402,관리지역,1,기타,,기타,1,0,0
A&J오토캠핑장,일반야영장업,,,강원도 원주시 지정면 지정로 717,,,,,,,,,,,,,,,2015-05-18,,영업/정상,,,,26359,관리지역,1,기타,,기타,1,,
황학동캠핑장,일반야영장업,,,강원도 원주시 신림면 구학산로 1456-4,,,,,,,,,,,,,,,2015-05-19,,영업/정상,,,,26506,관리지역,1,기타,,기타,1,,
행복빌리지관광농원,일반야영장업,,,강원도 원주시 신림면 신림황둔로 662,,,,,,,,,,,,,,,2015-05-19,,영업/정상,,,,26508,관리지역,1,기타,,기타,1,,
강원도힐링캠핑장,일반야영장업,,,강원도 원주시 신림면 재사동길 10-38,,,,,,,,,,,,,,,2015-05-27,,영업/정상,,,,26508,관리지역,1,기타,,기타,1,,
한다리골야영장,일반야영장업,,,강원도 원주시 소초면 백교길 84-11,,,,,,,,,,,,,,,2015-05-28,,영업/정상,,,,26304,관리지역,1,기타,,기타,1,0,0
치악신림오토캠핑장,일반야영장업,,,강원도 원주시 신림면 성남로 194,,,,,,,,,,,,,,,2015-06-01,,영업/정상,,,,26506,관리지역,1,기타,,기타,1,0,0
물가애캠핑장,일반야영장업,,,강원도 원주시 호저면 칠봉로 840-73,,,,,,,,,,,,,,,2015-06-24,,영업/정상,,,,26300,관리지역,1,기타,,기타,1,0,0
피노키오 수련원 야영장,일반야영장업,,,,,,,,,,,,,,,,,,2015-07-09,,영업/정상,,,,,관리지역,,기타,,기타,1,,
원주두리캠핑장,일반야영장업,,,강원도 원주시 신림면 신림황둔로 974,,,,,,,,,,,,,,,2015-07-30,,영업/정상,,,,26508,관리지역,1,기타,,단독주택,1,0,0
구학리산채관광마을,일반야영장업,,,강원도 원주시 신림면 구학산로 1624,,,,,,,,,,,,,,,2015-08-18,,영업/정상,,,,26506,관리지역,1,기타,,기타,1,,
쉬리마을 농어촌 관광 휴양단지 야영장,일반야영장업,,,강원도 철원군 김화읍 호국로 6442,,,,,,,,,,,,,,,2015-03-31,,영업/정상,,,,24055,,,,,,,,
하오재캠핑장,일반야영장업,,,강원도 철원군 근남면 하오재로 1235,,,,,,,,,,,,,,,2015-05-04,033-458-0905,영업/정상,,,,24065,,,,,,,,
여울애꽃물들인,일반야영장업,,,강원도 철원군 근남면 하오재로 1455,,,,,,,,,,,,,,,2015-08-18,,영업/정상,,,,24065,,,,,,,,
터닝포인트 카라반/캠핑,일반야영장업,,,,,,,,,,,,,,,,,,2015-09-16,033 458 0099,영업/정상,,,,,관리지역,,기타,,,,,
매일민박야영장,일반야영장업,,,강원도 철원군 근남면 하오재로 1531 (매일민박),,,,,,,,,,,,,,,2015-10-29,,영업/정상,,,,24065,,,,,,,,
학마을캠프장(농업회사법인),일반야영장업,,,강원도 철원군 동송읍 도피동길 72-2 (가동),,,,,,,,,,,,,,,2016-01-05,,영업/정상,,,,24010,,,,,,,,
DMZ 캠핑장,일반야영장업,,,강원도 철원군 철원읍 독서당길 225-134,,,,,,,,,,,,,,,2016-06-09,,영업/정상,,,,24002,,,,,근린생활시설,1,,
덕풍계곡마을 야영장,일반야영장업,,,강원도 삼척시 가곡면 풍곡안길 17-18,,,,,,,,,,,,,,,2015-06-08,033-576-0394,영업/정상,,,,25955,,0,,,,0,0,0
동막골캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2015-09-07,033 5727155,영업/정상,,,,,,,,,,,,
내평계곡 캠핑장,일반야영장업,,,,,,,,,,,,,,,,,,2015-09-08,,영업/정상,,,,,,,,,,,,
별빛야영장,일반야영장업,,,강원도 삼척시 가곡면 덕풍길 918,,,,,,,,,,,,,,,2016-08-05,,영업/정상,,,,25955,,,,,,,,
삼척엘림캠핑장,일반야영장업,,,강원도 삼척시 근덕면 내평길 233-13,,,,,,,,,,,,,,,2016-08-19,,영업/정상,,,,25936,,1,,,,1,,
밤개울캠핑장,일반야영장업,,,강원도 철원군 근남면 하문수동1길 62-1,,,,,,,,,,,,,,,2018-03-08,,영업/정상,,,,24064,관리지역,,,,,,,
원남지야영장,일반야영장업,,,,,,,,,,,,,,,,,,2018-07-17,,영업/정상,,,,,,0,,,,1,0,0
오크밸리 카라반 캠핑장,일반야영장업,,,강원도 원주시 지정면 오크밸리2길 38 (오크밸리 스키빌리지),,,,,,,,,,,,,,,2015-08-21,,영업/정상,,,,26357,관리지역,,기타,,,,,
오크캠핑,일반야영장업,,,강원도 원주시 지정면 송정로 2-1,,,,,,,,,,,,,,,2015-10-16,,영업/정상,,,,26358,관리지역,1,기타,,기타,1,,
진밭골향기관광농원 야영장,일반야영장업,,,강원도 원주시 문막읍 취병로 638-3,,,,,,,,,,,,,,,2016-01-18,,영업/정상,,,,26360,관리지역,1,기타,,기타,1,,
피노키오 자연휴양림 야영장,일반야영장업,,,강원도 원주시 신림면 소야1길 72,,,,,,,,,,,,,,,2016-01-26,033-764-3007,영업/정상,,,,26507,관리지역,1,기타,,기타,1,,
마루노리,일반야영장업,,,강원도 원주시 지정면 지정로 1234,,,,,,,,,,,,,,,2016-02-12,,영업/정상,,,,26357,관리지역,1,기타,,기타,1,,
아빠의 캠핑장,일반야영장업,,,강원도 원주시 신림면 신림황둔로 854-2,,,,,,,,,,,,,,,2016-06-01,,영업/정상,,,,26506,관리지역,1,기타,,기타,1,0,0
원주키즈캠핑장,일반야영장업,,,강원도 원주시 신림면 솔치로 88,,,,,,,,,,,,,,,2016-07-11,,영업/정상,,,,26507,관리지역,1,기타,,사무실,1,,
돼지문화원,일반야영장업,,,강원도 원주시 지정면 송정로 130,,,,,,,,,,,,,,,2016-07-11,070-8299-0372,영업/정상,,,,26358,관리지역,1,기타,,기타,,,
원주산노리캠핑장,일반야영장업,,,강원도 원주시 신림면 재사동길 50,,,,,,,,,,,,,,,2016-08-02,,영업/정상,,,,26508,관리지역,1,기타,,사무실,1,0,0
생각속의 집,일반야영장업,,,,,,,,,,,,,,,,,,2016-08-02,,영업/정상,,,,,관리지역,2,기타,,다가구용 주택(공동주택적용),2,,
